"Date","New South Wales","Northern Territory and Australian Capital Territory","Queensland","South Australia","Tasmania","Victoria","Western Australia"
"Jan 2015",3212,183,1802,754,297,2285,917
"Feb 2015",3247,195,1857,776,264,2319,910
"Mar 2015",4167,257,2375,1003,375,2864,1064
"Apr 2015",3522,165,1908,871,272,2495,880
"May 2015",4584,276,2591,1079,396,3252,1163
"Jun 2015",3892,223,2087,849,332,2713,984
"Jul 2015",4166,226,2235,933,343,2718,1101
"Aug 2015",5338,286,2919,1319,447,3622,1274
"Sep 2015",3949,214,2308,952,362,2760,1061
"Oct 2015",3559,202,2022,881,356,2518,985
"Nov 2015",4273,245,2485,972,380,2995,1066
"Dec 2015",3498,205,2011,812,310,2434,879
"Jan 2016",4239,239,2456,944,370,2907,1093
"Feb 2016",3195,201,1894,800,272,2315,885
"Mar 2016",3406,199,1972,731,269,2333,885
"Apr 2016",3412,202,2012,805,278,2512,909
"May 2016",4541,283,2599,972,427,3230,1168
"Jun 2016",3937,241,2161,844,328,2691,994
"Jul 2016",5014,271,2842,1167,415,3488,1312
"Aug 2016",4355,255,2302,939,327,2782,1112
"Sep 2016",3994,251,2175,873,352,2783,1097
"Oct 2016",4676,297,2622,1166,424,3374,1255
"Nov 2016",3575,196,2050,864,302,2644,991
"Dec 2016",3560,209,2165,882,290,2671,927
"Jan 2017",4117,227,2579,979,372,2971,1140
"Feb 2017",3402,212,2097,823,309,2395,859
"Mar 2017",3412,203,2103,767,296,2417,886
"Apr 2017",4553,264,2628,1032,348,3169,1066
"May 2017",3830,230,2252,880,297,2698,878
"Jun 2017",3943,210,2315,916,328,2735,972
"Jul 2017",5663,304,2997,1249,441,3937,1312
"Aug 2017",4825,266,2596,966,406,3086,1035
"Sep 2017",4502,237,2431,992,446,3030,1029
"Oct 2017",4556,289,2739,1147,437,3306,1235
"Nov 2017",3315,216,2121,849,294,2428,901
"Dec 2017",3487,207,2167,833,287,2525,905
"Jan 2018",3292,198,2099,727,255,2342,889
"Feb 2018",3330,234,2005,782,266,2358,877
"Mar 2018",3307,193,2189,789,271,2450,877
"Apr 2018",4151,252,2645,948,360,3074,1165
"May 2018",3745,261,2238,914,290,2593,1007
"Jun 2018",3898,253,2337,916,293,2780,950
"Jul 2018",5143,288,3019,1176,360,3472,1245
"Aug 2018",3935,236,2367,949,321,2789,1013
"Sep 2018",4875,299,2838,1151,364,3334,1316
"Oct 2018",3687,224,2163,800,288,2679,968
"Nov 2018",3460,202,2092,875,285,2556,960
"Dec 2018",4359,273,2699,1052,348,3255,1161
"Jan 2019",3476,227,2110,796,274,2453,986
"Feb 2019",3490,195,2158,807,277,2500,929
"Mar 2019",4432,250,2723,972,394,3026,1171
"Apr 2019",3533,211,2141,832,278,2634,938
"May 2019",3835,221,2195,971,317,2692,973
"Jun 2019",5212,289,3120,1147,388,3479,1391
"Jul 2019",4353,214,2486,903,347,2828,1007
"Aug 2019",4155,223,2547,898,358,2889,1042
"Sep 2019",4969,285,3199,1162,383,3416,1225
"Oct 2019",3711,219,2327,861,320,2672,919
"Nov 2019",3534,203,2196,853,296,2570,904
"Dec 2019",4381,255,2767,1087,317,3152,1132
"Jan 2020",3433,182,2078,836,276,2367,938
"Feb 2020",3554,244,2214,788,276,2400,844
"Mar 2020",4439,260,2848,1050,331,3262,1149
"Apr 2020",3806,210,2190,877,261,2624,961
"May 2020",4659,295,2772,1082,367,3356,1177
"Jun 2020",3727,215,2136,876,263,2598,978
"Jul 2020",3916,227,2305,904,284,2660,972
"Aug 2020",4855,270,2874,1071,352,3856,1212
"Sep 2020",3765,219,2223,896,289,2756,946
"Oct 2020",3460,196,2174,781,311,2422,936
