"class","category","indicator_name","series_name","sub_series_name","parameter","value","units","date_last_updated"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-01-02","149","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-01-09","140","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-01-16","132","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-01-23","131","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-01-30","133","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-02-06","129","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-02-13","136","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-02-20","139","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-02-27","103","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-03-06","132","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-03-13","127","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-03-20","148","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-03-27","124","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-04-03","129","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-04-10","133","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-04-17","128","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-04-24","130","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-05-01","151","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-05-08","152","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-05-15","150","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-05-22","150","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-05-29","142","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-06-05","132","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-06-12","151","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-06-19","125","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-06-26","157","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-07-03","156","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-07-10","145","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-07-17","158","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-07-24","176","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-07-31","161","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-08-07","166","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-08-14","163","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-08-21","180","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-08-28","150","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-09-04","146","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-09-11","190","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-09-18","163","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-09-25","168","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-10-02","152","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-10-09","170","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-10-16","149","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-10-23","165","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-10-30","147","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-11-06","152","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-11-13","153","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-11-20","135","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-11-27","157","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-12-04","120","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-12-11","139","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-12-18","144","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2011-12-25","143","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-01-01","154","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-01-08","118","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-01-15","134","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-01-22","130","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-01-29","112","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-02-05","131","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-02-12","133","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-02-19","133","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-02-26","127","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-03-04","117","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-03-11","132","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-03-18","118","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-03-25","146","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-04-01","139","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-04-08","140","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-04-15","122","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-04-22","140","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-04-29","143","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-05-06","150","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-05-13","144","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-05-20","148","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-05-27","137","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-06-03","162","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-06-10","135","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-06-17","150","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-06-24","167","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-07-01","152","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-07-08","171","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-07-15","169","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-07-22","165","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-07-29","161","Number","11-01-21"
"Health","Weekly deaths","By region","Auckland","Auckland","2012-08-05","146","Number","11-01-21"
